# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
9.999999999999999547e-08,2.100000000000000000e+03,1.199999999999999956e+00,1.774000000000000021e-01,9.338200000000000500e+01,9.354795407052109990e-01
9.999999999999999547e-08,2.100000000000000000e+03,2.399999999999999911e+00,3.393000000000000460e-01,9.319830000000000325e+01,9.351559842545758006e-01
9.999999999999999547e-08,2.100000000000000000e+03,4.799999999999999822e+00,6.804999999999999938e-01,9.284869999999999379e+01,9.348486450294252181e-01
9.999999999999999547e-08,2.100000000000000000e+03,9.599999999999999645e+00,1.375900000000000123e+00,9.217929999999999779e+01,9.346528891011426365e-01
9.999999999999999547e-08,2.100000000000000000e+03,1.919999999999999929e+01,2.755300000000000082e+00,9.075839999999999463e+01,9.332991926552295370e-01
9.999999999999999547e-07,6.000000000000000000e+02,1.499999999999999944e-01,2.628000000000000336e-01,2.176820000000000022e+01,2.182555756528155866e-01
9.999999999999999547e-07,6.000000000000000000e+02,2.999999999999999889e-01,5.285999999999999588e-01,2.175049999999999883e+01,2.186608412066181895e-01
9.999999999999999547e-07,6.000000000000000000e+02,5.999999999999999778e-01,1.075800000000000090e+00,2.158719999999999928e+01,2.182196065270176621e-01
9.999999999999999547e-07,6.000000000000000000e+02,1.199999999999999956e+00,2.088900000000000201e+00,2.134799999999999898e+01,2.180345231541674089e-01
9.999999999999999547e-07,6.000000000000000000e+02,2.399999999999999911e+00,4.161800000000000388e+00,2.087110000000000198e+01,2.177743321556540046e-01
9.999999999999999547e-07,6.000000000000000000e+02,4.799999999999999822e+00,8.131700000000000372e+00,2.002690000000000126e+01,2.179957613235468661e-01
9.999999999999999547e-07,6.000000000000000000e+02,9.599999999999999645e+00,1.557379999999999853e+01,1.818149999999999977e+01,2.153537645896652919e-01
9.999999999999999547e-07,6.000000000000000000e+02,1.919999999999999929e+01,2.879909999999999926e+01,1.519949999999999868e+01,2.134734251954680251e-01
9.999999999999999547e-07,9.000000000000000000e+02,1.499999999999999944e-01,2.497000000000000053e-01,3.492469999999999430e+01,3.501212527681620834e-01
9.999999999999999547e-07,9.000000000000000000e+02,2.999999999999999889e-01,4.991999999999999771e-01,3.485229999999999961e+01,3.502715556055830959e-01
9.999999999999999547e-07,9.000000000000000000e+02,5.999999999999999778e-01,9.844000000000000528e-01,3.463159999999999883e+01,3.497590278703557876e-01
9.999999999999999547e-07,9.000000000000000000e+02,1.199999999999999956e+00,1.984100000000000197e+00,3.420889999999999986e+01,3.490137824577441150e-01
9.999999999999999547e-07,9.000000000000000000e+02,2.399999999999999911e+00,3.885999999999999677e+00,3.363820000000000476e+01,3.499823126703706100e-01
9.999999999999999547e-07,9.000000000000000000e+02,4.799999999999999822e+00,7.634299999999999642e+00,3.207209999999999894e+01,3.472295451666581600e-01
9.999999999999999547e-07,9.000000000000000000e+02,9.599999999999999645e+00,1.469729999999999848e+01,2.940809999999999746e+01,3.447499317137675545e-01
9.999999999999999547e-07,9.000000000000000000e+02,1.919999999999999929e+01,2.734319999999999951e+01,2.474129999999999896e+01,3.405228416335429054e-01
9.999999999999999547e-07,1.200000000000000000e+03,1.499999999999999944e-01,2.393000000000000127e-01,4.874810000000000088e+01,4.886503402642523586e-01
9.999999999999999547e-07,1.200000000000000000e+03,2.999999999999999889e-01,4.783999999999999919e-01,4.865419999999999590e+01,4.888808057748267877e-01
9.999999999999999547e-07,1.200000000000000000e+03,5.999999999999999778e-01,9.528999999999999693e-01,4.849919999999999476e+01,4.896579506113757918e-01
9.999999999999999547e-07,1.200000000000000000e+03,1.199999999999999956e+00,1.899199999999999777e+00,4.790509999999999735e+01,4.883252735961378654e-01
9.999999999999999547e-07,1.200000000000000000e+03,2.399999999999999911e+00,3.734099999999999753e+00,4.680949999999999989e+01,4.862521412047256519e-01
9.999999999999999547e-07,1.200000000000000000e+03,4.799999999999999822e+00,7.319499999999999673e+00,4.502599999999999625e+01,4.858195629069761434e-01
9.999999999999999547e-07,1.200000000000000000e+03,9.599999999999999645e+00,1.419650000000000034e+01,4.137850000000000250e+01,4.822472276771926358e-01
9.999999999999999547e-07,1.200000000000000000e+03,1.919999999999999929e+01,2.637070000000000292e+01,3.508440000000000225e+01,4.765005235687423402e-01
9.999999999999999547e-07,1.500000000000000000e+03,1.499999999999999944e-01,2.187999999999999945e-01,6.308420000000000272e+01,6.322253089760395683e-01
9.999999999999999547e-07,1.500000000000000000e+03,2.999999999999999889e-01,4.658999999999999808e-01,6.301099999999999568e+01,6.330594238557438747e-01
9.999999999999999547e-07,1.500000000000000000e+03,5.999999999999999778e-01,9.173999999999999932e-01,6.273699999999999477e+01,6.331787821474204048e-01
9.999999999999999547e-07,1.500000000000000000e+03,1.199999999999999956e+00,1.845000000000000195e+00,6.202410000000000423e+01,6.318995466354235813e-01
